Start Station,End Station,Time,Line,Direction
CHANCERY LANE,ST PAULS,1.52,Central,Eastbound
ST PAULS,BANK,1.62,Central,Eastbound
BANK,LIVERPOOL STREET,1.62,Central,Eastbound
LIVERPOOL STREET,BANK,1.65,Central,Westbound
BANK,ST PAULS,1.63,Central,Westbound
ST PAULS,CHANCERY LANE,1.52,Central,Westbound
CHANCERY LANE,HOLBORN,0.85,Central,Westbound
HOLBORN,TOTTENHAM COURT ROAD,1.38,Central,Westbound
TOTTENHAM COURT ROAD,OXFORD CIRCUS,1.02,Central,Westbound
OXFORD CIRCUS,BOND STREET,1.03,Central,Westbound
BOND STREET,MARBLE ARCH,1.02,Central,Westbound
MARBLE ARCH,LANCASTER GATE,1.62,Central,Westbound
LANCASTER GATE,QUEENSWAY,1.65,Central,Westbound
QUEENSWAY,NOTTING HILL GATE,1.18,Central,Westbound
EDGWARE ROAD,PADDINGTON (CIRCLE),1.85,Circle ,Inner
PADDINGTON (CIRCLE),BAYSWATER,1.65,Circle ,Inner
BAYSWATER,NOTTING HILL GATE,1.47,Circle ,Inner
NOTTING HILL GATE,HIGH STREET KENSINGTON,1.58,Circle ,Inner
HIGH STREET KENSINGTON,GLOUCESTER ROAD,1.8,Circle ,Inner
GLOUCESTER ROAD,SOUTH KENSINGTON,1.43,Circle ,Inner
SOUTH KENSINGTON,SLOANE SQUARE,1.98,Circle ,Inner
SLOANE SQUARE,VICTORIA,1.8,Circle ,Inner
VICTORIA,ST JAMES PARK,1.42,Circle ,Inner
ST JAMES PARK,WESTMINSTER,1.5,Circle ,Inner
WESTMINSTER,EMBANKMENT,1.37,Circle ,Inner
EMBANKMENT,TEMPLE,1.37,Circle ,Inner
TEMPLE,BLACKFRIARS,1.4,Circle ,Inner
BLACKFRIARS,MANSION HOUSE,1.52,Circle ,Inner
MANSION HOUSE,CANNON STREET,0.98,Circle ,Inner
CANNON STREET,MONUMENT,0.97,Circle ,Inner
MONUMENT,TOWER HILL,1.8,Circle ,Inner
TOWER HILL,ALDGATE,1.3,Circle ,Inner
ALDGATE,LIVERPOOL STREET,1.75,Circle ,Inner
LIVERPOOL STREET,MOORGATE,1.32,Circle ,Inner
MOORGATE,BARBICAN,1.38,Circle ,Inner
BARBICAN,FARRINGDON,1.2,Circle ,Inner
FARRINGDON,KINGS CROSS ST PANCRAS,3.12,Circle ,Inner
KINGS CROSS ST PANCRAS,EUSTON SQUARE,1.65,Circle ,Inner
EUSTON SQUARE,GREAT PORTLAND STREET,1.3,Circle ,Inner
GREAT PORTLAND STREET,BAKER STREET (CIRCLE),1.57,Circle ,Inner
BAKER STREET ,EDGWARE ROAD,1.88,Circle ,Inner
EDGWARE ROAD,BAKER STREET ,1.47,Circle ,Outer
BAKER STREET ,GREAT PORTLAND STREET,1.9,Circle ,Outer
GREAT PORTLAND STREET,EUSTON SQUARE,1.25,Circle ,Outer
EUSTON SQUARE,KINGS CROSS ST PANCRAS,1.75,Circle ,Outer
KINGS CROSS ST PANCRAS,FARRINGDON,2.98,Circle ,Outer
FARRINGDON,BARBICAN,1.22,Circle ,Outer
BARBICAN,MOORGATE,1.32,Circle ,Outer
MOORGATE,LIVERPOOL STREET,1.18,Circle ,Outer
LIVERPOOL STREET,ALDGATE,2.18,Circle ,Outer
ALDGATE,TOWER HILL,1.37,Circle ,Outer
TOWER HILL,MONUMENT,1.48,Circle ,Outer
MONUMENT,CANNON STREET,0.88,Circle ,Outer
CANNON STREET,MANSION HOUSE,0.93,Circle ,Outer
MANSION HOUSE,BLACKFRIARS,1.22,Circle ,Outer
BLACKFRIARS,TEMPLE,1.37,Circle ,Outer
TEMPLE,EMBANKMENT,1.43,Circle ,Outer
EMBANKMENT,WESTMINSTER,1.4,Circle ,Outer
WESTMINSTER,ST JAMES PARK,1.52,Circle ,Outer
ST JAMES PARK,VICTORIA,1.33,Circle ,Outer
VICTORIA,SLOANE SQUARE,1.75,Circle ,Outer
SLOANE SQUARE,SOUTH KENSINGTON,2,Circle ,Outer
SOUTH KENSINGTON,GLOUCESTER ROAD,1.48,Circle ,Outer
GLOUCESTER ROAD,HIGH STREET KENSINGTON,2.23,Circle ,Outer
HIGH STREET KENSINGTON,NOTTING HILL GATE,1.68,Circle ,Outer
NOTTING HILL GATE,BAYSWATER,1.77,Circle ,Outer
BAYSWATER,PADDINGTON (CIRCLE),1.63,Circle ,Outer
PADDINGTON (CIRCLE),EDGWARE ROAD,2.15,Circle ,Outer
